0 0 0 (-0.272256450666+0.0283105290186j)
0 0 1 (0.311270271303-0.064109103141j)
0 0 2 (-0.0813212906374-0.260118249891j)
0 0 3 (-0.0699001571614+0.0738426159074j)
0 0 4 (-0.199898949189-0.144770642855j)
0 1 0 (0.124058174297+0.00828852849073j)
0 1 1 (-0.257517304192+0.116335390352j)
0 1 2 (-0.0339453352247+0.0205808140307j)
0 2 0 (-0.142882732747+0.181805430327j)
0 2 1 (0.0617350648213-0.197031687529j)
0 3 0 (-0.0815052589563+0.0641985705335j)
0 4 0 (-0.188384424552-0.109269895099j)
1 0 0 (-0.00449682207513-0.138946423836j)
1 0 1 (0.0683456321387-0.0923626023966j)
1 0 2 (0.0106136431227-0.0497120485718j)
1 1 0 (0.0482631213727+0.00896187298466j)
1 2 0 (-0.101213912517-0.185914025744j)
2 0 0 (-0.0578798263632+0.143737975j)
2 0 1 (-0.107299357236+0.0743021848157j)
2 1 0 (-0.0573711409392-0.245126625127j)
3 0 0 (-0.129747517033+0.23746899067j)
4 0 0 (-0.275449677747+0.302512498172j)
